Interface,Bus_id,State,LoadZone,Latitude,Longitude,Demand_MW,DistanceMiles,Weight,IsAnchor,CentroidLatitude,CentroidLongitude
HQHIGATE,208,ME,ME,44.26519947254224,-70.29742435940962,15.244794597636464,125.20001577741107,0.0019532486183730766,False,44.483667697984295,-72.6425039057059
HQHIGATE,151,NH,NH,42.959822520150325,-71.29958850729058,212.58661940629156,126.96987630249839,0.0072175942768538896,False,44.483667697984295,-72.6425039057059
HQHIGATE,46,ME,ME,44.428477854185694,-70.2185567778726,13.833131801692865,128.5256254475334,0.001824391280278553,False,44.483667697984295,-72.6425039057059
HQHIGATE,209,ME,ME,44.62638986046252,-70.20768983478632,126.09775967413442,129.4203592332471,0.005479636621770554,False,44.483667697984295,-72.6425039057059
HQHIGATE,146,MA,WCMA,42.60136295077235,-72.53964839799113,708.0489795918368,129.99338032346756,0.012941682695713632,False,44.483667697984295,-72.6425039057059
HQHIGATE,44,ME,ME,44.524709861215946,-70.18143576649027,5.684889434889435,130.46734954754345,0.001156470759209563,False,44.483667697984295,-72.6425039057059
HQHIGATE,128,NH,NH,43.01890461063484,-71.06238128660073,50.31027073485174,131.25680434963843,0.0034248139374763197,False,44.483667697984295,-72.6425039057059
HQHIGATE,49,ME,ME,44.55275350027757,-70.15913278044644,18.9832285115304,131.70496470208113,0.002098376688838887,False,44.483667697984295,-72.6425039057059
HQHIGATE,63,ME,ME,43.92873397095386,-70.26333665894218,9.837075048107762,131.78134826364294,0.0015098804341026686,False,44.483667697984295,-72.6425039057059
HQHIGATE,135,NH,NH,43.023632235375686,-71.03023985880202,295.73654756780024,132.10125725771522,0.008263657539217303,False,44.483667697984295,-72.6425039057059
HQHIGATE,176,MA,WCMA,42.57130140261632,-72.23279747518049,284.2383673469388,133.72802084730895,0.008027393675523568,False,44.483667697984295,-72.6425039057059
HQHIGATE,186,ME,ME,44.51677416919847,-70.10128399145788,26.750996015936256,134.7040261241887,0.0024492582010814143,False,44.483667697984295,-72.6425039057059
HQHIGATE,145,ME,ME,43.7900457371867,-70.22324947963409,32.702564102564104,136.86147799304538,0.0026759624094961566,False,44.483667697984295,-72.6425039057059
HQHIGATE,98,MA,WCMA,42.45327335259599,-72.71817678920549,346.63216783216785,140.1546061282078,0.008558130902850753,False,44.483667697984295,-72.6425039057059
