OSMType,OSMId,Name,SubstationType,VoltageTag,VoltageKV,Circuits,Operator,Ref,Latitude,Longitude,AnchorWeight
way,139890741,Frost Bridge Substation,transmission,345000;115000,345.0,1,Eversource,8R,41.612322,-73.060511,3.0
way,139896636,Long Mountain Substation,transmission,345000,345.0,1,Eversource,,41.620289,-73.44233,3.0
way,139903894,Athens Substation,transmission,345000,345.0,1,,,42.270925,-73.850085,3.0
way,139903895,Leeds Substation,transmission,345000,345.0,1,Consolidated Edison,,42.264599,-73.846711,3.0
way,140012533,Sherman Road Substation,transmission,345000,345.0,1,Rhode Island Energy,,42.010419,-71.673767,3.0
way,140046323,West Farnum #17 Substation,transmission,345000;115000,345.0,1,Rhode Island Energy,,41.969662,-71.538769,3.0
way,140047680,Ocean State Substation,transmission,345000,345.0,1,LS Power Equity Partners LLC,,42.009431,-71.66966,3.0
way,140052625,Kent County Substation,transmission,345000;115000,345.0,1,Rhode Island Energy,,41.683732,-71.479491,3.0
way,140099249,Sockanosset Substation,transmission,115000;23000,115.0,1,Rhode Island Energy,24,41.754191,-71.440374,1.0
way,140111530,New Scotland Substation,transmission,345000;115000,345.0,1,National Grid,,42.609213,-73.904361,3.0
way,140155928,Montville Substation,transmission,345000;115000,345.0,1,Eversource,,41.428316,-72.103382,3.0
way,140172255,East Shore Substation,transmission,345000;115000,345.0,1,United Illuminating Company,,41.287859,-72.904472,3.0
way,140251931,Hurley Avenue Substation,transmission,345000;115000;69000,345.0,1,,,41.936751,-74.047825,3.0
way,140259930,Roseton Substation,transmission,345000,345.0,1,,,41.574818,-73.978631,3.0
way,140295802,Plumtree Substation,transmission,345000;115000,345.0,1,Eversource,,41.391587,-73.40198,3.0
way,140305494,,transition,115000,115.0,1,National Grid,,43.664202,-73.901323,1.0
way,140305496,,transition,115000,115.0,1,National Grid,,43.664482,-73.897732,1.0
way,140350758,,transmission,,,1,,,42.876815,-73.677587,1.0
way,140383643,Haddam Substation,transmission,115000,115.0,1,Eversource,11C,41.460933,-72.47716,1.0
way,140404129,Lake Road Substation,transmission,345000,345.0,1,Eversource,,41.874667,-71.895761,3.0
way,140411092,Tunnel Substation,generation,115000;69000,115.0,1,Eversource,,41.554739,-72.042838,1.0
way,140649634,Fiera Bush Station,generation,115000,115.0,1,National Grid,,42.575209,-73.861614,1.0
way,140829159,Devon Substation,generation,115000,115.0,1,Eversource,7R,41.209095,-73.107135,1.0
way,140834333,Hoyts Hill Transition Station,transition,345000,345.0,1,Eversource,,41.366833,-73.390016,3.0
way,140834334,Archers Lane Transition Station,transition,345000,345.0,1,Eversource,,41.299385,-73.413437,3.0
way,140838595,East Devon Substation,transmission,345000;115000,345.0,1,Eversource,,41.227526,-73.098358,3.0
way,140990925,Pequonnock Transition Station,transition,115000,115.0,1,United Illuminating Company,,41.186117,-73.170608,1.0
way,141040328,Admiral Street Cable Terminal,transition,115000,115.0,1,Rhode Island Energy,,41.842407,-71.421152,1.0
way,141049525,Comstock Substation,transmission,115000;34500,115.0,1,NYSEG,,43.460731,-73.412021,1.0
way,141078306,Fitzwilliam Substation,transmission,345000;115000,345.0,1,Eversource,,42.800527,-72.148719,3.0
way,141078310,Vermont Yankee Substation,transmission,345000;115000,345.0,1,Vermont Electric Power Company,,42.780005,-72.515988,3.0
way,141130122,Indian Well Substation,transmission,115000,115.0,1,United Illuminating Company,47P,41.325492,-73.100019,1.0
way,141135041,Norwalk Harbor Transition Station,transition,115000,115.0,1,Eversource,6J,41.080703,-73.428812,1.0
way,141135046,Norwalk Substation,transmission,345000;115000,345.0,1,Eversource,9S,41.127844,-73.42865,3.0
way,141135047,Norwalk Junction Transition Station,transition,345000;115000,345.0,1,Eversource,21M,41.176724,-73.417065,3.0
way,141373736,Orrington Substation,transmission,345000;115000,345.0,1,Versant Power,,44.740214,-68.754031,3.0
way,141527652,,generation,,,1,,,41.59362,-71.429147,1.0
way,142217252,,transition,115000,115.0,1,National Grid,,43.485768,-73.785688,1.0
way,142217253,,transition,115000,115.0,1,National Grid,,43.487908,-73.787749,1.0
way,142377593,Keene Road 345kV Substation,transmission,345000,345.0,1,Versant Power,,45.397605,-68.529155,3.0
way,142380352,Chester Static VAR Compensator,transmission,345000,345.0,1,Versant Power,,45.397625,-68.525761,3.0
way,142394413,Buxton Substation,transmission,345000,345.0,1,Central Maine Power Company,,43.663464,-70.553209,3.0
way,142394414,South Gorham Substation,transmission,345000;115000,345.0,1,Central Maine Power Company,,43.644093,-70.431985,3.0
