Pmax (MW),Pmin (MW),Type,Zone,Flag_thermal,Flag_RET,Flag_VRE,Flag_mustrun,Cost ($/MWh),EF,CC,AF,FOR,Flag_RPS
325.2,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
183.6,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
183.6,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
258.4,0,NGCC,RECO_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
60.5,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
93.6,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
60.5,0,NGCT,PS_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
315.0,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
181.4,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
181.4,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
315.0,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
181.4,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
181.4,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
96.1,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
96.1,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
96.1,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
96.1,0,NGCT,JC_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
1170.0,0,NuC,JC_NJ,1,0,0,0,9.0,0.0,0.99,1.0,0.0196451613,1
1170.0,0,NuC,JC_NJ,1,0,0,0,9.0,0.0,0.99,1.0,0.0196451613,1
41.8,0,Oil,JC_NJ,1,1,0,0,40.0,0.82,0.98,1.0,0.007536,0
365.5,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
244.0,0,NGCC,JC_NJ,1,0,0,0,18.75,0.4,0.98,1.0,0.0213414634,0
68.2,0,NGCT,AE_NJ,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
44.4,0,Hydro,DOM_NC,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
44.4,0,Hydro,DOM_NC,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
44.4,0,Hydro,DOM_NC,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
25.0,0,Hydro,DOM_NC,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
25.0,0,Hydro,DOM_NC,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
25.0,0,Hydro,DOM_NC,0,0,0,0,0.0,0.0,0.5,1.0,0.035,1
615.2,0,Coal,AEP_OH,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
615.2,0,Coal,AEP_OH,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
650.0,0,Coal,AEP_OH,1,1,0,0,23.57,1.01,0.95,1.0,0.0591216216,0
100.0,0,NGCT,DEOK_OH,1,0,0,0,26.3,0.59,0.98,1.0,0.0630689655,0
