Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD,NI
1,12,7,0.592379767,0.639078832,0.667901562,0.719414421,0.667901562,0.719414421,-5387.3
1,12,8,0.643734953,0.665396431,0.68792831,0.754236284,0.68792831,0.754236284,-5399.09
1,12,9,0.619990879,0.627252904,0.626326824,0.725028885,0.626326824,0.725028885,-5113.2
1,12,10,0.576449109,0.549858488,0.544792437,0.66750523,0.544792437,0.66750523,-4850.49
1,12,11,0.514725342,0.482702322,0.483579346,0.609309288,0.483579346,0.609309288,-4287.79
1,12,12,0.473052358,0.432752938,0.437509776,0.553139039,0.437509776,0.553139039,-3977.49
1,12,13,0.436874412,0.406859827,0.394747359,0.527582057,0.394747359,0.527582057,-3745.3
1,12,14,0.411425767,0.390947505,0.37406157,0.502921164,0.37406157,0.502921164,-3523.1
1,12,15,0.397338371,0.388738549,0.365084559,0.477311367,0.365084559,0.477311367,-3472.1
1,12,16,0.404724644,0.39312347,0.367584344,0.487489117,0.367584344,0.487489117,-3995.6
1,12,17,0.436605642,0.430188934,0.426931033,0.510402699,0.426931033,0.510402699,-4094.6
1,12,18,0.491115653,0.501542232,0.50151966,0.563813674,0.50151966,0.563813674,-4356.4
1,12,19,0.476655546,0.515473762,0.533416519,0.568947503,0.533416519,0.568947503,-4333.6
1,12,20,0.460653543,0.506222218,0.526634904,0.569843238,0.526634904,0.569843238,-4408.8
1,12,21,0.422737506,0.489976764,0.506860524,0.559034182,0.506860524,0.559034182,-4186.3
1,12,22,0.400094654,0.452608159,0.470877262,0.514330086,0.470877262,0.514330086,-3982.3
1,12,23,0.348048783,0.400460201,0.425646695,0.455340682,0.425646695,0.455340682,-3583.9
