Time Period,Month,Day,Hours,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,15,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,8,0.023411276,0.023411276,0.023411276,0.00158375,0.023411276,0.00158375
1,1,15,9,0.234965386,0.234965386,0.234965386,0.058508585,0.234965386,0.058508585
1,1,15,10,0.520485438,0.520485438,0.520485438,0.140770263,0.520485438,0.140770263
1,1,15,11,0.676483548,0.676483548,0.676483548,0.282122764,0.676483548,0.282122764
1,1,15,12,0.703182885,0.703182885,0.703182885,0.392021758,0.703182885,0.392021758
1,1,15,13,0.538259055,0.538259055,0.538259055,0.370410921,0.538259055,0.370410921
1,1,15,14,0.389492851,0.389492851,0.389492851,0.29864693,0.389492851,0.29864693
1,1,15,15,0.270445096,0.270445096,0.270445096,0.235819025,0.270445096,0.235819025
1,1,15,16,0.141601823,0.141601823,0.141601823,0.16511034,0.141601823,0.16511034
1,1,15,17,0.023879364,0.023879364,0.023879364,0.102192252,0.023879364,0.102192252
1,1,15,18,0.0,0.0,0.0,0.006891925,0.0,0.006891925
1,1,15,19,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,20,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,21,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,22,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,23,0.0,0.0,0.0,0.0,0.0,0.0
1,1,15,24,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,1,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,2,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,3,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,4,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,5,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,6,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,7,0.0,0.0,0.0,0.0,0.0,0.0
1,1,16,8,0.012353408,0.012353408,0.012353408,0.000575909,0.012353408,0.000575909
1,1,16,9,0.136315517,0.136315517,0.136315517,0.056872623,0.136315517,0.056872623
1,1,16,10,0.269138111,0.269138111,0.269138111,0.316857687,0.269138111,0.316857687
