Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,11,22,0.623094922,0.623094922,0.623094922,0.85343949,0.623094922,0.85343949
1,11,23,0.642701741,0.642701741,0.642701741,0.89119727,0.642701741,0.89119727
1,11,24,0.749714629,0.749714629,0.749714629,0.895907729,0.749714629,0.895907729
1,12,1,0.821773676,0.821773676,0.821773676,0.88775244,0.821773676,0.88775244
1,12,2,0.885427002,0.885427002,0.885427002,0.889149506,0.885427002,0.889149506
1,12,3,0.922657276,0.922657276,0.922657276,0.840622862,0.922657276,0.840622862
1,12,4,0.834934801,0.834934801,0.834934801,0.795883426,0.834934801,0.795883426
1,12,5,0.899473872,0.899473872,0.899473872,0.723326265,0.899473872,0.723326265
1,12,6,0.922159802,0.922159802,0.922159802,0.687941475,0.922159802,0.687941475
1,12,7,0.916893859,0.916893859,0.916893859,0.586504182,0.916893859,0.586504182
1,12,8,0.925648653,0.925648653,0.925648653,0.555911801,0.925648653,0.555911801
1,12,9,0.894703536,0.894703536,0.894703536,0.50083432,0.894703536,0.50083432
1,12,10,0.858876082,0.858876082,0.858876082,0.410301002,0.858876082,0.410301002
1,12,11,0.723455848,0.723455848,0.723455848,0.347554663,0.723455848,0.347554663
1,12,12,0.558978657,0.558978657,0.558978657,0.306216081,0.558978657,0.306216081
1,12,13,0.504600934,0.504600934,0.504600934,0.277552276,0.504600934,0.277552276
1,12,14,0.411713317,0.411713317,0.411713317,0.231405974,0.411713317,0.231405974
1,12,15,0.34309552,0.34309552,0.34309552,0.234253392,0.34309552,0.234253392
1,12,16,0.279625131,0.279625131,0.279625131,0.231808618,0.279625131,0.231808618
1,12,17,0.227887845,0.227887845,0.227887845,0.219245925,0.227887845,0.219245925
1,12,18,0.282616507,0.282616507,0.282616507,0.292728911,0.282616507,0.292728911
1,12,19,0.361297651,0.361297651,0.361297651,0.348085437,0.361297651,0.348085437
1,12,20,0.3990646,0.3990646,0.3990646,0.377080838,0.3990646,0.377080838
1,12,21,0.452016169,0.452016169,0.452016169,0.367292556,0.452016169,0.367292556
1,12,22,0.481332595,0.481332595,0.481332595,0.364873383,0.481332595,0.364873383
1,12,23,0.472029927,0.472029927,0.472029927,0.338696981,0.472029927,0.338696981
1,12,24,0.41604498,0.41604498,0.41604498,0.357682137,0.41604498,0.357682137
